# Title: Diode Laser Toptica Frequency Scan, 9 dB MW, PM Blink.
# Note: Diode Laser Delay Scan, 9 dB on Var Attn, 35 dB PM, 55.75 V Top to Bot, n=27. Use Toptica to scan from 361373 to 361345 ish GHz over 10 Seconds.
# Type:	Toptica Frequency
# Hittite Freq:	18511.0 MHz
# Hittite: Power	18.6 dBm
# Laser Freq:	361373 to 361345 GHz
# Target:	Full Stark States in 55.75 V = 9.2 V/cm
# Laser Mod:	0th: 1.35	1st: 1.41
# Laser Mod Attn:	35 dB
# Delay:	98921 (0, Min for Red States)
# MW Attn:	9 dB
# Delay:	1000 ns
# MW Off:	IR + 100 ns
# Top w/o Static:	+0.0060 V
# Static:	+55.76 V (9.2 V/cm)
# Static Off:	NaN
b	r	s
0.013	-0.013	-0.037
0.022	0.001	-0.035
0.011	-0.004	-0.020
0.007	-0.004	-0.009
0.012	0.008	-0.006
0.013	0.002	-0.019
0.010	-0.012	-0.024
0.016	-0.015	-0.022
0.012	-0.020	-0.025
0.014	-0.019	-0.017
0.005	-0.011	-0.025
0.009	-0.005	-0.012
0.009	0.007	-0.027
0.011	-0.022	-0.028
0.012	-0.016	-0.034
0.003	-0.019	-0.030
0.009	-0.024	-0.032
0.013	-0.022	-0.037
0.017	-0.036	-0.030
0.006	-0.024	-0.017
0.007	-0.032	-0.009
0.013	-0.030	-0.019
0.007	-0.017	-0.015
0.006	-0.019	-0.031
0.014	-0.018	-0.026
0.010	-0.007	-0.051
0.012	-0.023	-0.045
0.015	-0.015	-0.076
0.015	-0.016	-0.060
0.019	-0.010	-0.053
0.014	-0.030	-0.054
0.010	-0.038	-0.067
0.002	-0.044	-0.072
0.012	-0.059	-0.095
0.015	-0.052	-0.068
0.018	-0.054	-0.054
0.017	-0.061	-0.053
0.019	-0.084	-0.069
0.018	-0.078	-0.081
0.009	-0.086	-0.076
0.012	-0.086	-0.082
0.013	-0.080	-0.093
0.013	-0.095	-0.093
0.007	-0.094	-0.107
0.015	-0.078	-0.106
0.016	-0.092	-0.124
0.010	-0.075	-0.114
0.010	-0.096	-0.119
0.007	-0.107	-0.124
0.005	-0.115	-0.148
0.012	-0.135	-0.138
0.019	-0.130	-0.152
0.013	-0.129	-0.147
0.013	-0.131	-0.151
0.019	-0.112	-0.129
0.013	-0.099	-0.132
0.009	-0.097	-0.130
0.020	-0.098	-0.167
0.016	-0.095	-0.184
0.016	-0.109	-0.171
0.015	-0.097	-0.186
0.013	-0.066	-0.197
0.015	-0.067	-0.193
0.015	-0.078	-0.154
0.014	-0.102	-0.159
0.007	-0.129	-0.157
0.009	-0.118	-0.171
0.012	-0.114	-0.131
0.019	-0.107	-0.127
0.010	-0.106	-0.143
0.013	-0.076	-0.134
0.018	-0.051	-0.101
0.006	-0.040	-0.088
0.007	-0.028	-0.091
0.012	-0.040	-0.076
0.010	-0.040	-0.106
0.007	-0.036	-0.110
0.009	-0.038	-0.085
0.014	-0.027	-0.076
0.010	-0.033	-0.075
0.010	-0.034	-0.084
0.011	-0.044	-0.087
0.007	-0.053	-0.093
0.013	-0.064	-0.107
0.018	-0.072	-0.081
0.020	-0.064	-0.072
0.011	-0.055	-0.051
0.021	-0.061	-0.054
0.025	-0.072	-0.055
0.010	-0.074	-0.071
0.020	-0.072	-0.072
0.018	-0.067	-0.080
0.015	-0.069	-0.084
0.015	-0.063	-0.085
0.019	-0.081	-0.090
0.019	-0.087	-0.103
0.013	-0.071	-0.124
0.009	-0.073	-0.149
0.008	-0.108	-0.145
0.006	-0.095	-0.168
0.012	-0.103	-0.160
0.019	-0.105	-0.144
0.014	-0.136	-0.162
0.012	-0.149	-0.147
0.019	-0.133	-0.126
0.016	-0.129	-0.122
0.007	-0.140	-0.140
0.013	-0.148	-0.155
0.010	-0.153	-0.142
0.012	-0.168	-0.142
0.012	-0.152	-0.155
0.017	-0.140	-0.170
0.015	-0.154	-0.210
0.014	-0.147	-0.245
0.021	-0.162	-0.237
0.010	-0.189	-0.264
0.012	-0.207	-0.271
0.019	-0.177	-0.248
0.025	-0.156	-0.224
0.009	-0.144	-0.206
0.014	-0.154	-0.223
0.014	-0.158	-0.209
0.010	-0.142	-0.213
0.008	-0.118	-0.191
0.015	-0.125	-0.160
0.007	-0.099	-0.160
0.010	-0.110	-0.156
0.011	-0.105	-0.145
0.014	-0.093	-0.160
0.005	-0.090	-0.129
0.005	-0.074	-0.116
0.009	-0.073	-0.123
0.007	-0.082	-0.131
0.016	-0.082	-0.109
0.016	-0.069	-0.089
0.017	-0.059	-0.063
0.012	-0.049	-0.060
0.014	-0.042	-0.038
0.014	-0.045	-0.053
0.004	-0.039	-0.052
0.005	-0.042	-0.053
0.010	-0.032	-0.054
0.004	-0.022	-0.043
0.007	-0.023	-0.044
0.011	-0.013	-0.036
0.011	-0.010	-0.040
0.009	-0.007	-0.033
0.011	-0.008	-0.046
0.008	-0.019	-0.042
0.008	-0.022	-0.064
0.014	-0.023	-0.068
0.018	-0.004	-0.061
0.016	-0.003	-0.044
0.013	-0.015	-0.031
0.017	-0.023	-0.038
0.014	-0.016	-0.032
0.012	-0.035	-0.031
0.018	-0.035	-0.034
0.015	-0.035	-0.032
0.010	-0.021	-0.024
0.009	-0.024	-0.023
0.012	-0.021	-0.010
0.010	-0.005	-0.016
0.012	-0.016	-0.016
0.015	-0.029	-0.023
0.008	-0.033	-0.017
0.013	-0.038	-0.042
0.021	-0.044	-0.045
0.025	-0.030	-0.042
0.011	-0.029	-0.028
0.008	-0.015	-0.031
0.015	-0.007	-0.024
0.003	-0.011	-0.014
0.006	-0.013	-0.023
0.016	0.001	-0.015
0.011	-0.002	-0.041
0.013	-0.002	-0.043
0.012	0.003	-0.052
0.011	0.012	-0.043
0.008	0.008	-0.029
0.012	-0.001	-0.027
0.009	-0.007	-0.051
0.007	-0.001	-0.052
0.015	-0.011	-0.067
0.023	-0.006	-0.059
0.021	-0.000	-0.043
0.013	-0.009	-0.034
0.014	-0.009	-0.035
0.020	-0.009	-0.033
0.014	0.001	-0.029
0.020	-0.005	-0.024
0.022	-0.005	-0.033
0.016	-0.005	-0.023
0.009	-0.002	-0.031
0.012	0.003	-0.024
0.009	0.012	-0.022
0.008	0.006	-0.016
0.005	0.004	-0.020
0.001	0.002	-0.022
0.001	-0.006	-0.046
0.012	-0.011	-0.040
0.017	-0.002	-0.024
0.012	-0.002	-0.018
0.010	0.002	-0.009
0.017	0.008	-0.009
0.012	0.011	0.003
0.006	0.004	-0.005
0.016	0.011	0.003
0.010	0.010	-0.007
0.010	0.003	0.001
0.007	0.005	0.002
0.008	0.011	0.003
0.003	0.015	-0.015
0.009	-0.013	-0.001
0.009	-0.012	-0.004
0.002	-0.015	-0.017
0.010	-0.020	-0.033
0.017	-0.010	-0.022
0.025	-0.003	-0.007
0.011	-0.001	-0.016
0.012	-0.001	-0.012
0.017	0.002	-0.007
0.007	0.002	-0.016
0.009	-0.000	-0.017
0.021	0.001	-0.024
0.013	0.001	-0.021
0.013	-0.001	-0.003
0.011	0.010	-0.010
0.012	0.012	-0.007
0.015	0.022	0.001
0.015	0.006	0.006
0.014	0.000	0.014
0.011	0.010	-0.002
0.014	-0.003	-0.021
0.018	0.006	-0.015
0.017	0.010	-0.013
0.011	0.007	-0.004
0.019	0.009	0.001
0.022	0.012	0.006
0.009	0.010	-0.003
0.009	0.005	0.002
0.011	0.006	-0.021
0.008	-0.000	-0.011
0.009	-0.004	-0.013
0.012	0.006	-0.002
0.019	0.017	-0.006
0.015	0.025	0.003
0.012	0.015	-0.002
0.005	0.013	-0.012
0.000	0.001	-0.018
0.011	0.002	-0.016
0.017	0.004	-0.003
0.015	-0.001	0.002
0.010	-0.003	0.006
0.013	-0.002	0.012
0.011	0.009	0.011
0.001	-0.008	0.004
0.006	-0.000	0.009
0.009	0.001	0.002
0.008	-0.004	0.012
0.010	-0.010	0.002
0.015	0.003	0.004
0.019	0.010	0.002
0.019	-0.010	0.002
0.016	-0.010	-0.001
0.008	-0.010	-0.016
0.011	-0.013	-0.028
0.015	-0.013	-0.018
0.019	-0.000	-0.011
0.008	0.001	-0.007
0.010	0.010	0.002
0.019	0.003	0.002
0.005	-0.001	0.009
0.007	-0.000	-0.006
0.010	0.003	-0.005
0.009	0.003	-0.012
0.011	-0.009	0.007
0.011	0.001	0.006
0.008	0.001	-0.003
0.005	0.012	-0.005
0.008	-0.004	0.003
0.004	-0.019	0.014
-0.002	-0.017	-0.002
0.010	-0.026	-0.020
0.016	-0.015	-0.005
0.017	-0.001	0.002
0.014	-0.004	0.018
0.016	0.002	0.016
0.021	0.000	0.011
0.012	-0.004	0.003
0.012	-0.006	0.004
0.011	-0.012	-0.006
0.011	-0.019	-0.001
0.008	-0.012	0.000
0.017	-0.003	0.001
0.017	0.000	-0.001
0.011	0.002	-0.001
0.010	-0.017	0.001
0.003	-0.015	-0.002
0.008	-0.025	-0.013
0.010	-0.021	-0.009
0.015	-0.010	-0.004
0.015	-0.014	0.006
0.013	-0.007	0.006
0.016	-0.005	0.010
0.012	-0.002	0.010
0.006	-0.010	-0.002
0.011	-0.004	0.004
0.007	0.003	0.001
0.014	0.006	0.013
0.014	-0.000	-0.001
0.011	0.001	0.002
0.009	0.012	-0.003
0.011	-0.004	0.004
0.010	-0.002	0.002
0.001	-0.005	-0.001
0.011	-0.012	-0.018
0.016	-0.014	-0.027
0.022	-0.009	-0.024
0.010	-0.019	-0.025
0.009	-0.000	-0.015
0.013	0.002	-0.014
0.004	0.009	-0.015
0.008	0.008	-0.030
0.021	0.008	-0.020
0.014	0.013	-0.023
0.018	0.002	-0.015
0.015	0.014	-0.008
0.019	0.021	-0.024
0.015	0.012	-0.022
0.016	-0.015	-0.021
0.010	-0.020	-0.007
0.006	-0.011	-0.018
0.012	-0.033	-0.036
0.017	-0.020	-0.019
0.013	-0.006	-0.015
0.005	-0.003	-0.002
0.016	-0.010	-0.005
0.024	-0.015	-0.004
0.014	-0.007	-0.010
0.011	-0.003	-0.002
0.014	0.010	-0.014
0.006	-0.005	-0.021
0.005	-0.008	-0.024
0.011	0.001	-0.014
0.013	0.011	-0.016
0.011	0.013	-0.005
0.011	-0.012	-0.018
0.010	-0.004	-0.028
0.006	-0.014	-0.043
0.019	-0.025	-0.041
0.022	-0.010	-0.031
0.012	-0.016	-0.015
0.009	-0.004	-0.038
0.019	0.003	-0.025
0.009	0.005	-0.017
0.008	-0.011	-0.030
0.016	-0.012	-0.020
0.010	-0.028	-0.032
0.011	-0.028	-0.034
0.007	-0.011	-0.049
0.007	-0.007	-0.049
0.005	-0.004	-0.042
0.007	-0.021	-0.027
0.009	-0.023	-0.034
0.004	-0.021	-0.027
0.009	-0.029	-0.043
0.015	-0.033	-0.047
0.019	-0.019	-0.051
0.009	-0.021	-0.048
0.009	-0.022	-0.038
0.017	-0.048	-0.033
0.007	-0.025	-0.027
0.008	-0.034	-0.026
0.012	-0.017	-0.019
0.011	-0.010	-0.043
0.012	-0.027	-0.067
0.016	-0.023	-0.050
0.015	-0.008	-0.054
0.013	-0.010	-0.042
0.017	-0.026	-0.037
0.011	-0.028	-0.035
0.009	-0.060	-0.044
0.014	-0.075	-0.064
0.017	-0.066	-0.054
0.014	-0.058	-0.085
0.010	-0.076	-0.079
0.015	-0.089	-0.077
0.022	-0.085	-0.066
0.013	-0.092	-0.072
0.014	-0.073	-0.067
0.012	-0.082	-0.094
0.012	-0.076	-0.093
0.011	-0.083	-0.099
0.015	-0.088	-0.092
0.016	-0.116	-0.111
0.009	-0.140	-0.122
0.009	-0.130	-0.134
0.005	-0.105	-0.133
0.013	-0.131	-0.148
0.019	-0.145	-0.158
0.023	-0.144	-0.140
0.015	-0.158	-0.144
0.012	-0.156	-0.129
0.015	-0.170	-0.155
0.010	-0.169	-0.159
0.002	-0.186	-0.181
0.010	-0.171	-0.234
0.000	-0.198	-0.239
0.003	-0.197	-0.266
0.009	-0.197	-0.222
0.011	-0.204	-0.201
0.012	-0.197	-0.205
