# Title: Diode Laser Toptica Frequency Scan, 9 dB MW, PM Blink.
# Note: Diode Laser Delay Scan, 9 dB on Var Attn, 37 dB PM, 55.75 V Top to Bot, n=27. Use Toptica to scan from 361373 to 361345 ish GHz over 10 Seconds.
# Type:	Toptica Frequency
# Hittite Freq:	18511.0 MHz
# Hittite: Power	18.6 dBm
# Laser Freq:	361373 to 361345 GHz
# Target:	Full Stark States in 55.75 V = 9.2 V/cm
# Laser Mod:	0th: 1.09	1st: 1.10
# Laser Mod Attn:	36 dB
# Delay:	106892 (pi, Max for Red States)
# MW Attn:	9 dB
# Delay:	1000 ns
# MW Off:	IR + 100 ns
# Top w/o Static:	+0.0060 V
# Static:	+55.76 V (9.2 V/cm)
# Static Off:	NaN
b	r	s
0.020	0.009	0.003
0.024	-0.003	0.010
0.021	-0.001	0.016
0.015	0.008	0.020
0.013	0.018	0.019
0.021	0.006	0.016
0.015	0.013	0.015
0.022	0.013	0.018
0.021	0.011	0.022
0.027	0.007	0.011
0.021	-0.001	0.011
0.014	0.011	0.012
0.016	0.015	0.018
0.008	0.015	0.027
0.012	0.016	-0.000
0.015	0.009	0.004
0.021	0.003	0.006
0.021	0.012	-0.002
0.021	0.008	0.014
0.016	0.019	0.017
0.004	0.012	0.011
0.010	0.002	0.006
0.008	0.004	0.003
0.015	0.015	0.008
0.014	0.023	0.018
0.016	0.030	0.023
0.019	0.027	0.014
0.019	0.011	0.019
0.016	0.021	0.015
0.020	0.020	0.022
0.013	0.029	0.029
0.020	0.029	-0.001
0.016	0.012	0.006
0.016	0.012	0.017
0.019	0.007	0.014
0.013	0.008	0.023
0.015	0.013	0.028
0.012	0.020	0.019
0.019	0.005	0.012
0.015	0.009	0.013
0.018	0.002	0.012
0.021	0.005	0.021
0.019	0.010	0.022
0.016	0.003	0.016
0.012	0.009	0.028
0.012	0.021	0.018
0.013	0.018	0.016
0.009	0.023	0.010
0.012	0.017	-0.009
0.017	0.001	0.002
0.024	0.006	0.003
0.027	-0.002	0.009
0.023	0.001	0.016
0.014	0.008	0.019
0.014	0.011	0.018
0.019	-0.008	0.013
0.016	-0.002	0.021
0.021	-0.006	0.022
0.012	0.000	0.027
0.020	-0.003	0.008
0.022	-0.004	0.013
0.013	0.006	0.008
0.017	0.015	0.011
0.009	0.016	0.015
0.009	0.024	-0.006
0.014	0.009	0.005
0.015	0.009	0.012
0.018	0.018	0.011
0.017	0.006	0.016
0.014	0.012	0.020
0.009	0.022	0.006
0.020	0.004	0.004
0.019	0.007	0.004
0.019	0.016	0.010
0.020	0.001	0.016
0.021	0.007	0.021
0.016	0.006	0.009
0.016	-0.002	0.012
0.009	-0.003	0.014
0.010	0.004	0.015
0.008	0.009	0.023
0.012	0.013	-0.008
0.015	0.003	0.004
0.013	0.013	0.015
0.018	-0.001	0.013
0.015	0.013	0.012
0.018	0.020	0.019
0.016	0.028	0.012
0.024	0.010	0.009
0.013	0.009	0.009
0.015	0.004	0.014
0.014	-0.002	0.013
0.019	0.011	0.003
0.017	0.005	-0.001
0.014	0.006	0.012
0.017	0.007	0.018
0.017	0.005	0.023
0.010	0.004	0.012
0.011	0.008	-0.004
0.016	0.005	0.007
0.021	0.008	0.001
0.025	0.000	0.014
0.021	0.007	0.020
0.013	0.014	0.023
0.008	0.022	0.016
0.015	0.004	0.016
0.013	0.008	0.022
0.017	-0.001	0.029
0.012	-0.007	0.033
0.018	-0.010	0.020
0.018	-0.013	0.027
0.012	0.002	0.017
0.013	-0.012	0.019
0.016	-0.008	0.023
0.020	-0.002	-0.008
0.017	0.001	0.005
0.021	-0.009	0.009
0.022	0.004	-0.002
0.020	-0.010	0.002
0.017	0.001	0.014
0.008	-0.009	0.010
0.016	-0.018	0.010
0.017	-0.008	0.014
0.014	0.003	0.020
0.019	-0.008	0.024
0.019	0.004	0.024
0.015	0.003	0.008
0.018	-0.010	0.018
0.013	-0.013	0.009
0.014	-0.016	0.019
0.009	-0.013	0.027
0.010	-0.003	-0.004
0.008	-0.024	0.006
0.011	-0.019	0.015
0.018	-0.028	0.006
0.013	-0.021	0.013
0.018	-0.017	0.021
0.012	-0.011	0.013
0.017	-0.026	0.004
0.009	-0.013	-0.009
0.011	-0.011	0.005
0.012	-0.002	0.014
0.016	-0.011	0.007
0.016	-0.016	0.011
0.012	-0.029	0.017
0.017	-0.023	0.008
0.017	-0.021	0.009
0.010	-0.015	0.010
0.017	-0.022	-0.004
0.022	-0.027	-0.002
0.027	-0.022	0.003
0.029	-0.030	0.013
0.022	-0.032	0.020
0.011	-0.033	0.029
0.010	-0.040	0.025
0.013	-0.073	0.009
0.009	-0.053	0.015
0.019	-0.056	0.022
0.020	-0.079	0.022
0.027	-0.079	-0.003
0.026	-0.094	0.003
0.013	-0.074	0.008
0.013	-0.073	0.004
0.014	-0.064	0.020
0.015	-0.075	-0.023
0.008	-0.121	-0.008
0.015	-0.162	-0.002
0.014	-0.129	-0.003
0.015	-0.139	-0.001
0.013	-0.140	0.005
0.008	-0.137	-0.000
0.012	-0.135	-0.004
0.012	-0.139	0.002
0.016	-0.133	0.011
0.019	-0.144	0.019
0.018	-0.132	0.023
0.018	-0.113	0.005
0.019	-0.127	0.011
0.014	-0.160	0.001
0.015	-0.143	0.005
0.012	-0.168	0.014
0.010	-0.154	-0.011
0.017	-0.158	0.006
0.019	-0.132	0.006
0.021	-0.105	0.002
0.016	-0.090	0.007
0.014	-0.086	0.016
0.015	-0.066	0.030
0.023	-0.085	0.024
0.017	-0.078	0.018
0.023	-0.064	0.020
0.022	-0.047	0.027
0.023	-0.035	0.019
0.019	-0.048	0.013
0.018	-0.041	0.017
0.017	-0.034	0.016
0.025	-0.030	0.016
0.011	-0.034	0.015
0.012	-0.036	0.008
0.020	-0.021	0.016
0.027	-0.024	0.009
0.028	-0.057	0.015
0.024	-0.047	0.019
0.019	-0.035	0.029
0.017	-0.015	0.024
0.019	-0.041	0.003
0.012	-0.035	0.006
0.020	-0.033	0.016
0.020	-0.051	0.019
0.022	-0.061	0.005
0.022	-0.086	0.009
0.013	-0.063	0.004
0.014	-0.100	0.016
0.018	-0.080	0.021
0.014	-0.082	-0.009
0.014	-0.081	0.001
0.020	-0.102	0.013
0.019	-0.097	0.004
0.022	-0.121	0.012
0.016	-0.094	0.010
0.006	-0.101	0.005
0.013	-0.116	0.004
0.013	-0.090	0.006
0.014	-0.127	0.006
0.009	-0.123	0.011
0.014	-0.103	0.006
0.013	-0.132	0.006
0.012	-0.140	0.015
0.009	-0.153	0.017
0.010	-0.159	0.015
0.007	-0.168	-0.001
0.013	-0.161	-0.013
0.015	-0.152	-0.005
0.014	-0.154	0.008
0.020	-0.131	0.006
0.015	-0.140	0.014
0.015	-0.112	0.018
0.009	-0.109	0.021
0.018	-0.114	0.015
0.015	-0.107	0.014
0.021	-0.149	0.018
0.016	-0.137	0.025
0.019	-0.114	0.010
0.015	-0.114	0.007
0.013	-0.120	0.014
0.012	-0.090	0.010
0.020	-0.060	0.023
0.011	-0.059	0.004
0.014	-0.069	-0.007
0.020	-0.065	-0.001
0.025	-0.087	-0.003
0.028	-0.085	0.007
0.021	-0.062	0.008
0.013	-0.052	0.012
0.016	-0.028	0.010
0.018	-0.035	0.001
0.018	-0.020	0.011
0.024	-0.032	0.015
0.024	-0.031	0.022
0.032	-0.029	0.012
0.028	-0.045	0.021
0.016	-0.045	0.018
0.015	-0.025	0.020
0.016	-0.024	0.022
0.016	-0.011	-0.013
0.015	-0.021	0.001
0.019	-0.030	0.007
0.018	-0.016	0.004
0.019	-0.029	0.006
0.014	-0.023	0.016
0.004	-0.011	0.011
0.018	-0.023	0.003
0.021	-0.019	0.006
0.018	-0.020	0.009
0.012	-0.037	0.017
0.014	-0.014	0.017
0.012	-0.028	0.005
0.004	-0.033	0.016
0.010	-0.026	0.017
0.012	-0.009	0.022
0.010	-0.004	0.025
0.008	0.011	0.002
0.013	-0.001	0.014
0.015	0.008	0.014
0.024	-0.010	0.011
0.017	-0.011	0.012
0.015	0.007	0.015
0.005	0.015	0.024
0.011	-0.001	0.021
0.008	0.006	0.015
0.014	0.005	0.019
0.017	-0.005	0.023
0.018	-0.013	0.025
0.019	-0.032	0.017
0.014	-0.031	0.018
0.013	-0.017	0.022
0.018	-0.002	0.030
0.010	-0.013	0.024
0.011	-0.012	0.004
0.023	-0.017	0.013
0.025	-0.004	0.007
0.030	-0.008	0.014
0.028	-0.005	0.016
0.017	0.004	0.024
0.017	0.002	0.013
0.021	-0.010	0.001
0.014	-0.014	0.006
0.021	-0.016	0.014
0.024	-0.015	0.019
0.023	-0.008	0.009
0.019	-0.023	0.012
0.008	-0.009	0.008
0.010	-0.013	0.013
0.004	-0.008	0.011
0.008	-0.002	-0.009
0.009	-0.008	-0.002
0.014	-0.008	0.013
0.017	0.007	0.006
0.017	0.001	0.013
0.012	-0.004	0.015
0.004	0.004	0.014
0.015	-0.005	0.011
0.017	0.006	0.007
0.016	0.009	0.007
0.014	-0.012	0.015
0.015	0.008	0.015
0.009	0.005	0.004
0.004	0.010	0.016
0.005	-0.001	0.008
0.009	0.010	0.014
0.010	0.017	0.015
0.013	0.017	-0.009
0.015	0.003	0.004
0.017	0.003	0.015
0.016	-0.000	0.014
0.013	-0.000	0.024
0.016	-0.002	0.020
0.007	0.008	0.017
0.014	0.002	0.014
0.010	0.008	0.014
0.016	0.006	0.013
0.017	0.003	0.018
0.023	-0.007	0.007
0.020	-0.006	0.004
0.016	-0.013	0.007
0.008	-0.006	0.005
0.016	0.006	0.008
0.005	0.018	0.003
0.007	0.008	-0.001
0.013	-0.005	0.004
0.018	-0.002	0.002
0.017	-0.004	0.009
0.021	0.006	0.012
0.010	0.007	0.018
0.012	0.016	0.010
0.017	0.019	-0.000
0.011	0.023	0.007
0.023	0.007	0.015
0.020	0.001	0.026
0.024	-0.001	0.006
0.020	-0.011	0.003
0.010	-0.013	-0.003
0.011	0.001	-0.001
0.018	0.009	0.009
0.012	0.019	-0.016
0.020	0.010	-0.001
0.023	0.005	0.004
0.024	0.010	0.006
0.020	-0.009	0.008
0.019	0.008	0.014
0.011	0.016	0.009
0.017	-0.004	0.016
0.016	0.004	0.010
0.013	0.011	0.015
0.012	-0.003	0.017
0.010	0.008	0.020
0.006	0.009	0.007
0.006	-0.002	0.011
0.008	0.011	0.011
0.011	0.014	0.016
0.013	0.018	0.021
0.015	0.018	-0.009
0.020	-0.002	0.006
0.016	0.004	0.014
0.025	-0.007	0.012
0.017	-0.005	0.019
0.015	0.006	0.022
0.008	0.012	0.017
0.018	0.017	0.013
0.011	0.023	0.004
0.017	0.016	0.020
0.017	0.004	0.022
0.017	0.003	0.021
0.013	-0.013	0.015
0.009	-0.022	0.020
0.005	-0.006	0.012
0.017	0.004	0.018
0.008	-0.002	0.016
0.009	0.002	0.006
0.017	-0.001	0.017
0.016	0.004	0.009
0.015	0.000	0.016
0.015	0.008	0.020
0.012	0.011	0.027
0.018	0.005	0.010
0.021	0.005	0.004
0.014	0.015	0.013
0.021	0.005	0.017
0.019	0.006	0.022
0.023	0.008	0.005
0.023	-0.009	0.010
0.010	-0.001	0.006
0.012	0.012	0.014
0.014	0.022	0.015
0.019	0.018	-0.015
0.022	0.014	-0.002
0.029	0.003	0.004
0.028	-0.007	0.003
0.024	-0.027	0.010
0.019	-0.021	0.012
0.013	-0.003	0.007
0.018	-0.008	0.007
0.019	0.003	0.009
0.016	0.011	0.013
0.019	-0.002	0.021
0.020	0.006	0.024
0.019	0.003	0.009
0.014	-0.007	0.018
0.015	0.006	0.004
0.020	0.007	0.015
0.012	0.019	0.018
0.019	0.009	-0.004
0.016	-0.007	0.001
0.016	-0.011	0.001
0.024	-0.005	0.002
0.019	0.003	0.008
0.015	0.007	0.010
0.005	0.007	-0.006
0.014	0.008	-0.004
0.007	0.018	0.000
0.016	0.015	0.010
0.011	0.018	0.019
0.014	0.013	0.024
0.010	0.002	0.025
0.007	-0.000	0.024
-0.006	0.006	0.013
0.004	0.011	0.022
-0.002	0.011	0.013
0.005	-0.000	0.002
0.016	-0.015	0.012
0.017	-0.009	0.003
0.013	-0.011	0.014
0.013	-0.008	0.016
0.013	-0.001	0.019
0.014	-0.012	0.007
0.020	-0.006	-0.007
0.011	0.003	0.001
0.021	-0.011	0.008
0.018	-0.011	0.022
0.024	-0.011	0.007
0.023	-0.015	0.021
0.014	-0.001	0.008
0.013	0.001	0.015
0.012	-0.001	0.017
0.015	-0.004	-0.004
0.023	-0.014	0.000
0.019	-0.014	0.015
0.021	-0.006	0.008
0.018	-0.012	0.017
0.014	-0.004	0.022
0.007	0.007	0.015
0.012	-0.002	0.011
0.012	-0.000	0.013
0.010	0.004	0.023
0.015	-0.017	0.023
0.019	-0.007	0.027
0.017	-0.011	0.013
0.016	-0.020	0.020
0.014	-0.030	0.016
0.023	-0.022	0.022
0.016	-0.012	0.024
0.016	-0.003	0.011
0.019	-0.028	0.014
0.018	-0.021	0.011
0.024	-0.038	0.014
0.017	-0.037	0.024
0.009	-0.029	0.029
0.008	-0.029	0.022
0.014	-0.044	0.006
0.007	-0.061	0.005
0.015	-0.058	0.009
0.015	-0.043	0.021
0.017	-0.041	0.024
0.020	-0.047	0.025
0.021	-0.033	0.015
0.012	-0.030	0.016
0.018	-0.017	0.020
0.009	-0.008	0.009
0.007	-0.018	0.002
0.014	-0.018	0.004
0.014	-0.014	-0.001
0.016	-0.027	0.006
0.010	-0.023	0.014
0.006	-0.021	0.016
0.010	-0.040	-0.003
0.014	-0.059	-0.005
0.012	-0.062	0.006
0.017	-0.073	0.014
0.017	-0.083	0.021
0.019	-0.068	0.012
0.017	-0.092	0.019
0.010	-0.090	0.004
0.012	-0.089	0.013
0.014	-0.094	0.016
0.018	-0.075	-0.010
0.013	-0.086	-0.001
0.015	-0.102	0.004
0.016	-0.091	-0.001
0.019	-0.105	-0.004
0.014	-0.107	0.002
0.007	-0.110	0.000
0.014	-0.118	-0.008
0.012	-0.131	0.002
0.013	-0.150	0.005
0.017	-0.164	0.009
0.021	-0.166	0.013
0.019	-0.161	0.002
0.012	-0.173	0.016
0.010	-0.185	0.007
0.018	-0.200	0.016
0.010	-0.200	0.020
0.015	-0.213	0.002
0.012	-0.204	0.009
0.016	-0.202	0.003
0.022	-0.190	0.009
0.018	-0.179	0.016
0.015	-0.165	0.023
0.008	-0.192	0.012
0.014	-0.208	0.003
0.007	-0.176	-0.004
0.015	-0.193	0.003
0.016	-0.182	0.013
0.017	-0.169	0.023
0.019	-0.143	0.012
0.019	-0.160	0.015
0.013	-0.121	0.010
0.018	-0.136	0.008
0.009	-0.131	0.004
0.012	-0.139	-0.007
0.018	-0.176	0.007
0.019	-0.148	0.002
0.017	-0.142	0.008
