# delay list:
number	order	static	pm	mw
5	0	0	1.4	-19
6	1	0	1.4	-19
7	-1	0	1.4	-19
# mistaken about AWG Timing
# 8	0	40	1.4	-19
# mistaken about AWG Timing
# 9	0	40	1.0	-19  
10	0	0	1.0	-19
11	0	0	2.4	-19
# mistaken about AWG Timing
# 12	0	40	2.4	-19
13	0.5	0	1.4	-19
14	-0.5	0	1.4	-19
15	0	80	1.0	-19
16	0	80	2.4	-19
# New Day New Me
# 18	0	0	1.4	-19
# New File Setup
# 0 No Static
20	0	0	1.4	-19
21	0	0	1.0	-19
22	0	0	2.4	-19
23	0	0	0.5	-19
24	0	0	3.0	-19
25	0	0	0	-19
26	0	0	2.0	-19
# +1 No Static
27	1	0	0	-19
28	1	0	0.5	-19
29	1	0	1.0	-19
30	1	0	1.4	-19
31	1	0	2.0	-19
32	1	0	2.4	-19
33	1	0	3.0	-19
# -1 No Static
35	-1	0	0	-19
36	-1	0	0.5	-19
37	-1	0	1.0	-19
38	-1	0	1.4	-19
39	-1	0	2.0	-19
40	-1	0	2.4	-19
41	-1	0	3.0	-19
# 0 Scan Static
43	0	80	1.0	-19
44	0	160	1.0	-19
45	0	40	1.0	-19
46	0	120	1.0	-19
47	0	0	1.0	-19
48	0	240	1.0	-19
49	0	0	0	-19
50	0	-80	0	-19
# Test +1 in 80 mV
51	1	80	1.0	-19
# Small fields 
53	0	20	1.0	-19
54	0	30	1.0	-19
55	0	10	1.0	-19
# 80 mV 0th; I'm an idiot, 80 was actually 160 (50 ohm output)
56	0	160	0.0	-19
57	0	160	0.5	-19
58	0	160	1.0	-19
59	0	160	1.4	-19
60	0	160	2.0	-19
61	0	160	2.4	-19
62	0	160	3.0	-19
# 80 mV 1st all actually 160 mV
# 63	1	160	0.0	-19
# 64	1	160	1.4	-19
# 65	1	160	3.0	-19
# 66	1	160	2.4	-19
# 67	1	160	1.0	-19
68	1	80	1.4	-19
69	1	80	0.5	-19
70	1	80	2.4	-19
# 80 mV 0th
71	0	80	1.4	-19
72	0	80	2.4	-19
73	0	80	0.5	-19
74	0	80	2.0	-19
75	0	80	0	-19
# back to 1st
76	1	80	2.0	-19
77	1	80	0	-19
